id,name,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,reviews_per_month,est_revenue_l30d_prorated
1762852,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,173997,Beth,"","",f,1,2,"['email', 'phone']",t,f,"",Williamsburg,Brooklyn,40.70941,-73.95309,Private room in rental unit,Private room,1,,,1,35,30,1125,0,2023-11-02,3,0,0,2017-06-24,4.67,5,4,5,5,5,4.67,"",f,1,0.04,0
3655007,Home in Bronx · ★4.92 · 2 bedrooms · 1 bed · 1 shared bath,18492106,Sharon,"","",f,2,2,"['email', 'phone']",t,t,"Bronx, New York, United States",Wakefield,Bronx,40.88805,-73.85311,Private room in home,Private room,1,,,1,30,30,1125,0,2023-11-02,12,0,0,2018-09-15,4.92,5,5,5,5,5,5,"",f,1,0.16,0
4055732,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 bath,12368114,Rachelle,"","",f,1,1,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Clinton Hill,Brooklyn,40.68264,-73.96243,Private room in rental unit,Private room,2,,,1,40,30,1125,0,2023-11-02,1,0,0,2015-06-07,4,5,4,5,5,5,5,"",f,1,0.01,0
6015754,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 bath,8636732,Kay,"","",f,2,2,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Flatbush,Brooklyn,40.63676,-73.96713,Private room in rental unit,Private room,1,,1,1,31,30,90,0,2023-11-02,1,0,0,2015-11-02,5,5,5,5,5,5,5,"",f,2,0.01,0
6027485,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 shared bath,31283971,Ana,"","",f,1,1,"['email', 'phone']",f,f,"Brooklyn, New York, United States",Bedford-Stuyvesant,Brooklyn,40.68572,-73.95273,Private room in rental unit,Private room,1,,,1,38,30,30,0,2023-11-02,1,0,0,2017-12-31,5,5,5,5,5,5,5,"",f,1,0.01,0
6925777,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,26330490,Sandy,"","",f,1,1,"['email', 'phone', 'work_email']",t,t,"Brooklyn, New York, United States",Bushwick,Brooklyn,40.70479,-73.92524,Private room in rental unit,Private room,1,,,1,40,30,60,0,2023-11-02,5,0,0,2016-08-09,5,4.8,4.8,5,5,5,5,"",f,1,0.05,0
6812270,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,21130473,Justin,"","",f,1,1,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Bedford-Stuyvesant,Brooklyn,40.68529,-73.92138,Private room in rental unit,Private room,1,,,1,40,30,31,0,2023-11-02,3,0,0,2015-11-25,4.67,5,4.33,5,5,5,4.67,"",t,1,0.03,0
7224028,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 bath,5998033,Eddie,"","",f,1,1,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Bushwick,Brooklyn,40.68969,-73.90619,Private room in rental unit,Private room,2,,,1,25,30,1125,0,2023-11-02,2,0,0,2017-07-01,5,5,4,5,5,5,5,"",f,1,0.02,0
7367165,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,4964848,Jakob,"","",f,1,3,"['email', 'phone']",t,t,"New York, United States",Harlem,Manhattan,40.82673,-73.94078,Private room in rental unit,Private room,2,,,1,35,30,1125,0,2023-11-02,2,0,0,2016-02-02,5,5,5,5,5,5,5,"",f,1,0.02,0
7397699,Rental unit in Brooklyn · ★4.33 · 1 bedroom · 1 bed · 1.5 baths,38759330,Nathaniel,"","",f,1,1,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Williamsburg,Brooklyn,40.7122,-73.9511,Private room in rental unit,Private room,1,,1,1,35,30,1125,0,2023-11-02,3,0,0,2015-09-13,4.33,4.33,3.67,5,5,5,4.67,"",f,1,0.03,0
