id,name,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,reviews_per_month,est_revenue_l30d_prorated
80700,Boutique hotel in Brooklyn · ★4.70 · 1 bedroom · 2 beds · 1 private bath,417504,The Box House Hotel,98%,95%,f,30,40,"['email', 'phone', 'work_email']",t,t,"",Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Private room,4,,1,2,429,1,365,0,2023-11-02,10,0,0,2022-10-22,4.7,5,4.78,4.89,4.89,4.11,4.78,Exempt,f,30,0.07,0
81739,Boutique hotel in Brooklyn · 1 bedroom · 2 beds · 1 private bath,417504,The Box House Hotel,98%,95%,f,30,40,"['email', 'phone', 'work_email']",t,t,"",Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Private room,4,,1,2,429,1,365,0,2023-11-02,2,0,0,2011-05-12,4,5,5,5,4.5,3.5,4.5,Exempt,f,30,0.01,0
103311,Boutique hotel in Brooklyn · ★4.17 · 2 bedrooms · 3 beds · 1 private bath,417504,The Box House Hotel,98%,95%,f,30,40,"['email', 'phone', 'work_email']",t,t,"",Greenpoint,Brooklyn,40.73778,-73.95366,Room in boutique hotel,Private room,6,,2,3,599,1,365,0,2023-11-02,8,0,0,2014-10-24,4.17,4.71,4.86,4.57,4.57,3.57,4.57,Exempt,f,30,0.05,0
254168,Boutique hotel in Brooklyn · ★5.0 · 2 bedrooms · 3 beds · 1 private bath,417504,The Box House Hotel,98%,95%,f,30,40,"['email', 'phone', 'work_email']",t,t,"",Greenpoint,Brooklyn,40.73756,-73.9535,Room in boutique hotel,Private room,6,,2,3,599,1,365,0,2023-11-02,5,0,0,2014-10-26,5,4.8,5,4.8,5,4,4.6,Exempt,f,30,0.04,0
680338,Home in Brooklyn · 3 bedrooms · 3 beds · 2.5 baths,267994,Claire,"",100%,f,1,1,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Bedford-Stuyvesant,Brooklyn,40.6808593166206,-73.9541231223551,Entire home,Entire home/apt,5,,3,3,270,30,30,0,2023-11-02,1,1,0,2023-09-01,5,5,5,5,5,4,5,"",f,1,0.48,0
920930,Rental unit in Brooklyn · ★4.15 · 3 bedrooms · 2 beds · 1.5 baths,4950369,Meryl,"","",f,1,3,"['email', 'phone']",t,t,"",Bedford-Stuyvesant,Brooklyn,40.69047,-73.94258,Entire rental unit,Entire home/apt,5,,3,2,350,30,30,0,2023-11-02,29,0,0,2021-12-28,4.15,4.32,4.18,4.54,4.39,3.54,4.11,"",f,1,0.23,0
1291245,Rental unit in New York · 2 bedrooms · 3 beds · 2 baths,2078796,Andrew,"","",f,1,2,"['email', 'phone']",t,t,"New York, United States",Chinatown,Manhattan,40.71464,-73.99045,Entire rental unit,Entire home/apt,6,,2,3,405,30,32,0,2023-11-02,2,0,0,2016-09-19,5,5,5,5,5,4,5,"",f,1,0.02,0
1717226,Home in Brooklyn · ★4.56 · 3 bedrooms · 5 beds · 2 baths,9053876,Amy,"",18%,f,1,3,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Bedford-Stuyvesant,Brooklyn,40.67921,-73.93711,Entire home,Entire home/apt,6,,3,5,250,30,30,320,2023-11-02,18,0,0,2022-08-10,4.56,4.72,4.17,4.83,4.83,4,4.56,"",f,1,0.15,0
1546621,Rental unit in Brooklyn · 2 bedrooms · 1 bed · 1 bath,624419,D.S.,"","",f,1,1,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Fort Greene,Brooklyn,40.68921,-73.97817,Entire rental unit,Entire home/apt,4,,2,1,250,30,30,0,2023-11-02,2,0,0,2016-01-01,3.5,3,3.5,4.5,4.5,3.5,4,"",f,1,0.02,0
1984390,Rental unit in New York · Studio · 2 beds · 1 bath,10238618,Zeynep,"","",f,1,1,"['email', 'phone']",t,t,"",Upper East Side,Manhattan,40.77619,-73.94816,Entire rental unit,Entire home/apt,4,,,2,261,30,1125,0,2023-11-02,2,0,0,2015-05-08,4.5,5,4.5,5,5,4,4,"",f,1,0.02,0
2279335,Rental unit in Brooklyn · ★4.0 · 1 bedroom · 1 bed · 1 bath,7009234,Sarah,"","",f,1,1,"['email', 'phone']",t,t,"",Williamsburg,Brooklyn,40.71947,-73.9552,Entire rental unit,Entire home/apt,2,,1,1,250,30,365,0,2023-11-02,3,0,0,2015-10-19,4,3.33,3.33,3.67,3.67,3.67,3.67,"",f,1,0.03,0
2763675,Rental unit in Brooklyn · ★4.64 · 1 bedroom · 1 bed · 1 private bath,458965,Mercedes,"","",f,1,6,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Bedford-Stuyvesant,Brooklyn,40.68162,-73.93827,Private room in rental unit,Private room,2,,,1,531,30,1125,124,2023-11-02,33,0,0,2019-12-09,4.64,4.76,4.73,4.88,4.76,4.24,4.48,"",f,1,0.29,0
3440595,Rental unit in New York · ★4.56 · 3 bedrooms · 3 beds · 2 baths,15270760,Ed,100%,100%,f,2,2,"['email', 'phone']",t,t,"New York, United States",Bedford-Stuyvesant,Brooklyn,40.69256,-73.94071,Entire rental unit,Entire home/apt,6,,3,3,393,30,365,89,2023-11-02,91,12,1,2023-10-08,4.56,4.76,4.47,4.64,4.65,4.07,4.57,"",f,2,0.81,23580
3930878,Rental unit in New York · ★3.57 · 1 bedroom · 1 bed · 1 bath,20364466,Michael,"","",f,1,2,"['email', 'phone']",t,t,"",East Village,Manhattan,40.72524,-73.98074,Entire rental unit,Entire home/apt,2,,1,1,250,30,365,0,2023-11-02,7,0,0,2018-05-25,3.57,4.14,3,4.29,4.86,4.29,3.71,"",f,1,0.06,0
4211276,Home in Brooklyn · ★4.0 · 4 bedrooms · 4 beds · 2.5 baths,21064917,Alissa,"","",f,1,1,"['email', 'phone']",t,t,"Brooklyn, New York, United States",Prospect-Lefferts Gardens,Brooklyn,40.66322,-73.95184,Entire home,Entire home/apt,7,,4,4,275,30,1125,0,2023-11-02,3,0,0,2015-01-01,4,4.33,3.67,4,4.67,4,4.33,"",f,1,0.03,0
